Time Step 0, time = 0.250 s, Nonlinear residual: 8.316e-02
Time Step 1, time = 0.500 s, Nonlinear residual: 6.959e-02
Time Step 2, time = 0.750 s, Nonlinear residual: 5.284e-02
Time Step 3, time = 1.000 s, Nonlinear residual: 4.525e-02
Time Step 4, time = 1.250 s, Nonlinear residual: 4.284e-02
Time Step 5, time = 1.500 s, Nonlinear residual: 3.067e-02
Time Step 6, time = 1.750 s, Nonlinear residual: 2.866e-02
Time Step 7, time = 2.000 s, Nonlinear residual: 2.262e-02
Time Step 8, time = 2.250 s, Nonlinear residual: 1.591e-02
Time Step 9, time = 2.500 s, Nonlinear residual: 1.420e-02
Time Step 10, time = 2.750 s, Nonlinear residual: 1.317e-02
Time Step 11, time = 3.000 s, Nonlinear residual: 9.907e-03
Time Step 12, time = 3.250 s, Nonlinear residual: 7.519e-03
Time Step 13, time = 3.500 s, Nonlinear residual: 6.867e-03
Time Step 14, time = 3.750 s, Nonlinear residual: 6.167e-03
Time Step 15, time = 4.000 s, Nonlinear residual: 4.877e-03
Time Step 16, time = 4.250 s, Nonlinear residual: 3.946e-03
Time Step 17, time = 4.500 s, Nonlinear residual: 3.500e-03
Time Step 18, time = 4.750 s, Nonlinear residual: 2.470e-03
Time Step 19, time = 5.000 s, Nonlinear residual: 1.991e-03
Time Step 20, time = 5.250 s, Nonlinear residual: 1.815e-03
Time Step 21, time = 5.500 s, Nonlinear residual: 1.618e-03
Time Step 22, time = 5.750 s, Nonlinear residual: 1.520e-03
Time Step 23, time = 6.000 s, Nonlinear residual: 1.197e-03
Time Step 24, time = 6.250 s, Nonlinear residual: 1.054e-03
Time Step 25, time = 6.500 s, Nonlinear residual: 9.431e-04
Time Step 26, time = 6.750 s, Nonlinear residual: 7.351e-04
Time Step 27, time = 7.000 s, Nonlinear residual: 5.594e-04
Time Step 28, time = 7.250 s, Nonlinear residual: 4.723e-04
Time Step 29, time = 7.500 s, Nonlinear residual: 4.382e-04
Time Step 30, time = 7.750 s, Nonlinear residual: 3.224e-04
Time Step 31, time = 8.000 s, Nonlinear residual: 2.589e-04
Time Step 32, time = 8.250 s, Nonlinear residual: 2.198e-04
Time Step 33, time = 8.500 s, Nonlinear residual: 1.707e-04
Time Step 34, time = 8.750 s, Nonlinear residual: 1.462e-04
Time Step 35, time = 9.000 s, Nonlinear residual: 1.342e-04
Time Step 36, time = 9.250 s, Nonlinear residual: 1.041e-04
Time Step 37, time = 9.500 s, Nonlinear residual: 9.241e-05
Time Step 38, time = 9.750 s, Nonlinear residual: 6.482e-05
Time Step 39, time = 10.000 s, Nonlinear residual: 4.604e-05
Time Step 40, time = 10.250 s, Nonlinear residual: 3.572e-05
Time Step 41, time = 10.500 s, Nonlinear residual: 2.899e-05
Time Step 42, time = 10.750 s, Nonlinear residual: 2.700e-05
Time Step 43, time = 11.000 s, Nonlinear residual: 1.961e-05
Time Step 44, time = 11.250 s, Nonlinear residual: 1.739e-05
Time Step 45, time = 11.500 s, Nonlinear residual: 1.515e-05
Time Step 46, time = 11.750 s, Nonlinear residual: 1.405e-05
Time Step 47, time = 12.000 s, Nonlinear residual: 1.308e-05
Time Step 48, time = 12.250 s, Nonlinear residual: 1.147e-05
Time Step 49, time = 12.500 s, Nonlinear residual: 8.887e-06
[PerfGraph] mock: total time 0.5 s
