Time Step 0, time = 0.250 s, Nonlinear residual: 9.157e-02
Time Step 1, time = 0.500 s, Nonlinear residual: 7.206e-02
Time Step 2, time = 0.750 s, Nonlinear residual: 5.820e-02
Time Step 3, time = 1.000 s, Nonlinear residual: 5.425e-02
Time Step 4, time = 1.250 s, Nonlinear residual: 4.567e-02
Time Step 5, time = 1.500 s, Nonlinear residual: 3.724e-02
Time Step 6, time = 1.750 s, Nonlinear residual: 3.009e-02
Time Step 7, time = 2.000 s, Nonlinear residual: 2.564e-02
Time Step 8, time = 2.250 s, Nonlinear residual: 2.182e-02
Time Step 9, time = 2.500 s, Nonlinear residual: 1.993e-02
Time Step 10, time = 2.750 s, Nonlinear residual: 1.479e-02
Time Step 11, time = 3.000 s, Nonlinear residual: 1.379e-02
Time Step 12, time = 3.250 s, Nonlinear residual: 1.021e-02
Time Step 13, time = 3.500 s, Nonlinear residual: 7.260e-03
Time Step 14, time = 3.750 s, Nonlinear residual: 5.221e-03
Time Step 15, time = 4.000 s, Nonlinear residual: 3.963e-03
Time Step 16, time = 4.250 s, Nonlinear residual: 3.124e-03
Time Step 17, time = 4.500 s, Nonlinear residual: 2.852e-03
Time Step 18, time = 4.750 s, Nonlinear residual: 2.280e-03
Time Step 19, time = 5.000 s, Nonlinear residual: 1.643e-03
Time Step 20, time = 5.250 s, Nonlinear residual: 1.274e-03
Time Step 21, time = 5.500 s, Nonlinear residual: 1.112e-03
Time Step 22, time = 5.750 s, Nonlinear residual: 9.708e-04
Time Step 23, time = 6.000 s, Nonlinear residual: 6.977e-04
Time Step 24, time = 6.250 s, Nonlinear residual: 5.377e-04
Time Step 25, time = 6.500 s, Nonlinear residual: 4.486e-04
Time Step 26, time = 6.750 s, Nonlinear residual: 3.728e-04
Time Step 27, time = 7.000 s, Nonlinear residual: 3.337e-04
Time Step 28, time = 7.250 s, Nonlinear residual: 2.402e-04
Time Step 29, time = 7.500 s, Nonlinear residual: 1.969e-04
Time Step 30, time = 7.750 s, Nonlinear residual: 1.870e-04
Time Step 31, time = 8.000 s, Nonlinear residual: 1.491e-04
Time Step 32, time = 8.250 s, Nonlinear residual: 1.175e-04
Time Step 33, time = 8.500 s, Nonlinear residual: 1.048e-04
Time Step 34, time = 8.750 s, Nonlinear residual: 8.348e-05
Time Step 35, time = 9.000 s, Nonlinear residual: 6.192e-05
Time Step 36, time = 9.250 s, Nonlinear residual: 5.015e-05
Time Step 37, time = 9.500 s, Nonlinear residual: 4.760e-05
Time Step 38, time = 9.750 s, Nonlinear residual: 3.444e-05
Time Step 39, time = 10.000 s, Nonlinear residual: 2.437e-05
Time Step 40, time = 10.250 s, Nonlinear residual: 2.267e-05
Time Step 41, time = 10.500 s, Nonlinear residual: 2.087e-05
Time Step 42, time = 10.750 s, Nonlinear residual: 1.873e-05
Time Step 43, time = 11.000 s, Nonlinear residual: 1.649e-05
Time Step 44, time = 11.250 s, Nonlinear residual: 1.434e-05
Time Step 45, time = 11.500 s, Nonlinear residual: 1.088e-05
Time Step 46, time = 11.750 s, Nonlinear residual: 7.982e-06
Time Step 47, time = 12.000 s, Nonlinear residual: 6.720e-06
Time Step 48, time = 12.250 s, Nonlinear residual: 4.910e-06
Time Step 49, time = 12.500 s, Nonlinear residual: 4.229e-06
[PerfGraph] mock: total time 0.5 s
